"Shipment has been successfully created.","Shipment has been successfully created."
"No labels found.","No labels found."
"Label URL not found for this shipment.","Label URL not found for this shipment."
"Unable to download the label: %s","Unable to download the label: %s"
"New InPost International Shipment","New InPost International Shipment"
"InPost International Shipments","InPost International Shipments"
"Pickup has been saved.","Pickup has been saved."
"Edit Pickup","Edit Pickup"
"Pickup has been deleted.","Pickup has been deleted."
"Create Pickup","Create Pickup"
"InPost International Pickups","InPost International Pickups"
"Weight-based price has been saved.","Weight-based price has been saved."
"Edit weight-based price","Edit weight-based price"
"Weight-based price has been deleted.","Weight-based price has been deleted."
"Create weight-based price","Create weight-based price"
"InPost International weight-based prices","InPost International weight-based prices"
"Pickup address has been saved.","Pickup address has been saved."
"Edit Pickup address","Edit Pickup address"
"Pickup address has been deleted.","Pickup address has been deleted."
"Create Pickup address","Create Pickup address"
"InPost International Pickup addresses","InPost International Pickup addresses"
"Failed to authorize because of error: %1', $tokenResponse['error_description'] ?? '","Failed to authorize because of error: %1', $tokenResponse['error_description'] ?? '"
"Authorization successful","Authorization successful"
"Failed to save tokens","Failed to save tokens"
"Parcel template has been saved.","Parcel template has been saved."
"Edit Parcel Template","Edit Parcel Template"
"Parcel template has been deleted.","Parcel template has been deleted."
"Create Parcel Template","Create Parcel Template"
"InPost International Parcel Templates","InPost International Parcel Templates"
"Unknown error occurred! %s","Unknown error occurred! %s"
"Field error %s: %s","Field error %s: %s"
"Unable to decode the label data.","Unable to decode the label data."
"No changes in the HTTP request","No changes in the HTTP request"
"Bad Request: %1', $response['message'] ?? 'Invalid JSON data","Bad Request: %1', $response['message'] ?? 'Invalid JSON data"
"Unauthorized: Authentication required","Unauthorized: Authentication required"
"Forbidden: Insufficient permissions","Forbidden: Insufficient permissions"
"Resource not found","Resource not found"
"Unsupported media type or data format","Unsupported media type or data format"
"Validation error: %1', $response['message'] ?? 'Invalid field values","Validation error: %1', $response['message'] ?? 'Invalid field values"
"Too many requests: Rate limit exceeded","Too many requests: Rate limit exceeded"
"Service temporarily unavailable","Service temporarily unavailable"
"No parcel templates available. Create one first.","No parcel templates available. Create one first."
"No,No"
"Yes, order value","Yes, order value"
"Yes, fixed value","Yes, fixed value"
"Standard","Standard"
"Centimeters","Centimeters"
"Kilograms","Kilograms"
"Grams","Grams"
"Use price from ""Price"" field below","Use price from ""Price"" field below"
"Do not allow to ship","Do not allow to ship"
"No pickup address available. Create one first.","No pickup address available. Create one first."
"Monday","Monday"
"Tuesday","Tuesday"
"Wednesday","Wednesday"
"Thursday","Thursday"
"Friday","Friday"
"Saturday","Saturday"
"Sunday","Sunday"
"EUR","EUR"
"Dimension A","Dimension A"
"Dimension B","Dimension B"
"Dimension C","Dimension C"
"Sandbox","Sandbox"
"Production","Production"
"Parcel","Parcel"
"Fixed","Fixed"
"Based on Cart Weight","Based on Cart Weight"
"Url to PDF","Url to PDF"
"Order increment ID is missing.","Order increment ID is missing."
"InPost International shipments","InPost International shipments"
"Tracking number","Tracking number"
"Service","Service"
"Details","Details"
"Actions","Actions"
"Show on the map","Show on the map"
"Print label","Print label"
"Return","Return"
"Create shipment","Create shipment"
"New InPost Pickup address","New InPost Pickup address"
"Pickup address details","Pickup address details"
"Is default","Is default"
"Setting this field to yes will disable other default pickup address","Setting this field to yes will disable other default pickup address"
"Label","Label"
"Contact person first name","Contact person first name"
"Contact person last name","Contact person last name"
"Contact person email","Contact person email"
"Contact person phone prefix","Contact person phone prefix"
"Contact person phone number","Contact person phone number"
"Street","Street"
"House number","House number"
